node_id,pagerank,community
Leigh Janiak,0.9612404689154856,2653
Jeannot Szwarc,0.9612404689154856,2655
Agnieszka Holland,0.9612404689154856,2657
Don Taylor,0.9612404689154856,2662
Marc Meyers,0.9612404689154856,2665
E. Elias Merhige,0.9612404689154856,2670
Robert Kurtzman,0.9612404689154856,2671
Ed Decter,0.9612404689154856,2676
Jorma Taccone,0.9612404689154856,2680
Ben Lewin,0.9612404689154856,2681
Claude Berri,0.9612404689154856,2682
Lucio Fulci,0.9612404689154856,2683
Claire McCarthy,0.9612404689154856,2684
Joseph Vilsmaier,0.9612404689154856,2685
Susanna White,0.9612404689154856,2691
Bruce Robinson,0.9612404689154856,2695
Darren Stein,0.9612404689154856,2698
Corey Yuen,0.9612404689154856,2700
James Ivory,0.9612404689154856,2714
Michael Winterbottom,0.9612404689154856,2718
Jonah Markowitz,0.9612404689154856,2721
Ramaa Mosley,0.9612404689154856,2734
Paul Downs Colaizzo,0.9612404689154856,2735
Nanni Moretti,0.9612404689154856,2739
Elizabeth Wood,0.9612404689154856,2740
Richard C. Sarafian,0.9612404689154856,2742
Kabir Khan,0.9612404689154856,2746
